osm_id,name,name_de,height,latitude,longitude,wikidata,wikipedia,region_source
11592720015,,,995,47.7369012,10.2194675,,,bayern-260721
4571693378,Bruggrain,,994,47.7189684,8.0941199,,,baden-wuerttemberg
2120529711,Hintere Langeck,,994,48.60408,8.293,Q30737887,,baden-wuerttemberg
6449424367,Mühleberg,,994,48.0368523,8.29705,,,baden-wuerttemberg
486569835,Rotenberg,,994,47.462655,9.942839,Q131784135,,bayern-260721
11631747253,,,994,47.5961074,10.1818102,,,bayern-260721
542679126,Auf dem Köpfle,,993,47.7463819,7.9162537,Q31561149,,baden-wuerttemberg
2996336468,Brandtner Riegel,,993,49.0571097,13.1340578,,,bayern-260721
12188969700,Emahlenriegel,,993,49.0641378,13.1921124,Q31548092,,bayern-260721
6461848407,Großer Kochelsberg,,993,48.1013032,8.7854115,,,baden-wuerttemberg
2982988922,Höhberg,,993,47.6847112,7.9933881,,,baden-wuerttemberg
12305135497,Ländeberg,,993,47.55905,10.665924,Q133288228,,bayern-260721
2120483908,Nägeliskopf,,993,48.64422,8.30498,Q31300921,,baden-wuerttemberg
1913812961,Rabenwand,,993,47.6112457,12.0219769,,,bayern-260721
10270455218,Steinenberg,,993,48.1097,8.7752995,Q31307129,,baden-wuerttemberg
2120529713,Leinkopf,,992,48.57584,8.27884,Q31318068,,baden-wuerttemberg
2920306554,Zellerberg Nordgipfel,,992,47.7677411,12.6627866,,,bayern-260721
12475515459,Bramandlberg,,991,48.8166701,13.7128901,Q31551698,,bayern-260721
6461964542,Galgenberg,,991,48.0961029,8.7928015,Q30714206,,baden-wuerttemberg
1983462154,Dreifaltigkeitsberg,,990,48.0824689,8.7618977,Q1257595,de:Dreifaltigkeitsberg (Schwäbische Alb),baden-wuerttemberg
12300199813,Hochvogel,,990,47.59655,10.42822,Q130739346,,bayern-260721
2120545966,Wiesberg,,990,48.57669,8.26232,Q30508599,,baden-wuerttemberg
834477539,Hohloh,,989,48.7078,8.4164926,Q1624072,,baden-wuerttemberg
3542244601,Häusleberg,,989,47.7096381,8.0048067,,,baden-wuerttemberg
9238866263,Schafberg Südgipfel,,989,48.2113346,8.8334955,Q137797367,,baden-wuerttemberg
7318784060,Schornhöhe,,989,47.6533412,13.1008208,,,bayern-260721
281348900,Schönhaldenkopf,,989,47.43753,10.26578,Q130492229,,bayern-260721
